"Product UID","Name","Price","Discounted Price","Meal Time","Meal Type","Goal","Category","Subcategory","Display in alacart","status","Description"
"VFHS","VEG FARMHOUSE SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","Whole wheat loaf stuffed with exotic veggies and delicious inhouse sauce"
"VSPS","VEG SMOKED PANEER SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","Whole wheat loaf stuffed with smoked paneer and delicious inhouse sauce"
"VMS","VEG MUSHROOM SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","Whole wheat loaf stuffed with mushroom and exotic veggies prepared in mushroom sauce"
"VCS","VEG CILANTRO SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","Whole wheat loaf stuffed with exotic veggies prepared in cilantro sauce"
"VPS","VEG PESTO SANDWICH","180","170","BLSD","Veg","Weight Loss","SANDWICHES","VEG SANDWICHES","Yes","Active","whole wheat loaf stuffed with exotic veggies prepared in pesto sauce"
"CAS","CHICKEN ALFREDO SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","Whole wheat loaf stuffed with chicken and exotic veggies prepared in white sauce"
"SCS","SMOKED CHICKEN SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","whole wheat loaf stuffed with smoked chicken and delicious sauce"
"CCS","CILANTRO CHICKEN SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","Whole wheat loaf stuffed with smoked chicken and delicious mushroom sauce"
"PCS","PESTO CHICKEN SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","whole wheat loaf stuffed with juicy grilled chicken and delicious cilantro sauce"
"CMS","CHICKEN MUSHROOM SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","whole wheat loaf stuffed with juicy grilled chicken and delicious pesto sauce"
"OCS","OMELETTE CHICKEN SANDWICH","200","190","BLSD","Chicken","Weight Loss","SANDWICHES","CHICKEN SANDWICHES","Yes","Active","whole wheat loaf stuffed with juicy grilled chicken and Omelette in delicious sauce"
"BES","BOILED EGG SANDWICH","190","180","BLSD","Eagen","Weight Loss","SANDWICHES","EGG SANDWICHES","Yes","Active","whole wheat loaf stuffed wIith boiled eggs and delicious sauce"
"OS","OMELETTE SANDWICH","190","180","BLSD","Eagen","Weight Loss","SANDWICHES","EGG SANDWICHES","Yes","Active","whole wheat loaf stuffed wIith omelette and delicious sauce"
"FS","FISH SANDWICH","220","200","BLSD","Pescatarian","Weight Loss","SANDWICHES","PESCATARIAN SANDWICHES","No","Active","Whole wheat loaf stuffed with fish, veggies and delicious dressing"
"VS","VEGAN SANDWICH","180","170","BLSD","Vegan","Weight Loss","SANDWICHES","VEGAN SANDWICHES","Yes","Active","Whole wheat loaf stuffed with tofu and dairy free sauce"
"ECS","EGG CILANTRO SANDWICH","190","180","BLSD","Eagen","Weight Loss","SANDWICHES","EGG SANDWICHES","Yes","Active","whole wheat loaf stuffed with eggs and delicious cilantro sauce"
"EPS","EGG PESTO SANDWICH","190","180","BLSD","Eagen","Weight Loss","SANDWICHES","EGG SANDWICHES","Yes","Active","whole wheat loaf stuffed with eggs and delicious pesto sauce"
"FPS","FISH PESTO SANDWICH","220","200","BLSD","Pescatarian","Weight Loss","SANDWICHES","PESCATARIAN SANDWICHES","Yes","Active","whole wheat loaf stuffed with grilled fish and delicious pesto sauce"
"FCS","FISH CILANTRO SANDWICH","220","200","BLSD","Pescatarian","Weight Loss","SANDWICHES","PESCATARIAN SANDWICHES","Yes","Active","whole wheat loaf stuffed with grilled fish and delicious cilantro sauce"
"VCS","VEGAN CILANTRO SANDWICH","180","170","BLSD","Vegan","Weight Loss","SANDWICHES","PESCATARIAN SANDWICHES","Yes","Active","whole wheat loaf stuffed with grilled tofu and delicious cilantro sauce"
"VPS","VEGAN PESTO SANDWICH","180","170","BLSD","Vegan","Weight Loss","SANDWICHES","VEGAN SANDWICHES","Yes","Active","whole wheat loaf stuffed with grilled tofu and delicious pesto sauce"
"VGS","GREEK VEG SALAD","170","160","BLSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Delicious VEG SALAD with cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"VCS","CHANA VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","No","Active","Tasty and nutritious VEG SALAD served with lime and other spices"
"VSVS","SAUTE VEGGIES VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Exotic veggies sauteed in olive oil and sprinkled with italian seasonings"
"VCS","CORN VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","No","Active","Corn veg salad served with olive oil and italian spices"
"VPS","PASTA VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Whole wheat pasta served with veggies and olives"
"VSS","SOYA VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Healthy soya beans served with exotic veggies in italian seasonings"
"VSPS","SPROUTS VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Sprouts sauteed in olive oil and mixed with veggies served with vinegar and lime"
"VTBS","THREE BEANS VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","VEG SALAD with a mix of chana,kidney beans, chick peas sauteed in olive oil and mixed with exotic veggies and fresh seasonings"
"VCRS","CAESAR VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","VEG SALAD served with croutons and fresh exotic veggies with non fattening dressing makes it healthy and tasty"
"VQS","QUINOA VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","Quinoa served with exotic veggies served with italian herbs makes it delicuous and filling"
"VFS","FRUIT VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","fruits served with a dash of nuts and honey gives a great twist to this VEG SALAD"
"VES","ENERGY VEG SALAD","170","160","LSD","Veg","Weight Loss","SALAD","VEG SALAD","Yes","Active","sprouts, veggies, cucumber and tomatoes make this VEG SALAD sumptuous and delicious."
"CGS","CHICKEN GREEK SALAD","200","190","LSD","Chicken","Weight Loss","SALAD","CHICKEN SALAD","Yes","Active","Delicious chicken SALAD with juicy grilled chicken ,cucumber, cherry tomatoes, lettuce , served with herb vinaigrette dressing"
"CCS","CHICKEN CHANA SALAD","200","190","LSD","Chicken","Weight Loss","SALAD","CHICKEN SALAD","Yes","Active","Delicious chicken SALAD with juicy grilled chicken ,boiled chana,cucumber, exotic veggies and lettuce , served with herb vinaigrette dressing"
